time,0-ckp,1-ckp,8-ckp,8-ckp-metis
0,1387886,1450332,1377701,1355221
1,1416038,1470780,1428259,1352319
2,1483132,1452791,1467063,1343310
3,1396669,1481163,1468108,1337028
4,1457286,1488013,1470657,1398717
5,1362199,1482611,1448366,1429932
6,1412075,1485633,1469340,1412069
7,1418546,1468724,1465888,1397561
8,1466794,1481377,1437018,1418951
9,1342855,1325327,1479175,1419323
10,1349376,1378319,1471306,1419374
11,1335163,1375699,1460007,1416401
12,1336018,1385390,1452991,1412854
13,1340190,1381060,1387205,1414203
14,1439246,1430633,1422336,1418944
15,1455138,1406657,1469694,1414258
16,1314936,1466670,1471039,1422868
17,1359296,1477111,1463395,1402339
18,1360582,1477985,1324370,1430367
19,1379870,1305411,1233993,1259487
20,1384046,1300020,1137731,1178551
21,1379943,1180530,1009071,1060129
22,1378192,778316,687982,992530
23,1359543,69448,407097,500268
24,1358773,0,90208,282453
25,1485139,0,0,110543
26,1478880,0,0,0
27,1426565,0,0,0
28,1452687,0,0,0
29,1466696,0,0,0
30,1470637,0,869253,228047
31,1572735,0,1523622,1402069
32,1562788,0,1534862,1413370
33,1546255,0,1521882,1420227
34,1555282,0,1510861,1426606
35,1545509,0,1536277,1400131
36,1566228,0,1542228,1410605
37,1486556,0,1517484,1421660
38,1537623,0,1534986,1422907
39,1548067,0,1558318,1405732
40,1506553,0,1566768,1409068
41,1529706,0,1563709,1397204
42,1555510,0,1564398,1362797
43,1561529,0,1565067,1381825
44,1568384,0,1559642,1337919
45,1570856,0,1565827,1346975
46,1570876,0,1553946,1325798
47,1568228,0,1508394,1332285
48,1567359,0,809371,1176939
49,1563227,0,785858,833319
50,1564016,0,767615,971883
51,1568281,0,766378,992597
52,1568775,0,782019,691683
53,1568408,0,563780,687743
54,1566971,0,427455,692790
55,1565721,0,0,633251
56,1509654,0,0,340670
57,1543247,0,0,337573
58,1498239,0,0,226021
59,1532592,0,133495,212493
60,1525721,0,1573084,227639
61,1533857,963270,1572364,130174
62,1470790,1554994,1570598,0
63,1537985,1423574,1556419,0
64,1541820,1539984,1560061,0
65,1449714,1550359,1568024,0
66,1473460,1570874,1569007,0
67,1428708,1565980,1570033,0
68,1389594,1545917,1563500,1008926
69,1182876,1561189,1571278,1321788
70,942733,1565800,1562514,1211935
71,945314,1556761,1562671,1345455
72,941820,1566122,1565988,1077321
73,943430,1568059,1562893,1266363
74,945370,1560935,1519745,1386561
75,943919,1567632,1549912,1433348
76,905399,1563238,1535282,1366533
77,473919,1569052,1132909,1350230
78,,1517452,1071934,1350873
79,,1198153,1092470,1409574
80,,945503,685685,1387871
81,,947219,318514,1429386
82,,944786,393757,1554791
83,,630090,465368,1572069
84,,23057,172495,1447176
85,,0,0,1332311
86,,0,0,1320487
87,,0,0,1336282
88,,0,0,1333891
89,,0,847789,1197310
90,,0,1551730,993228
91,,0,1543919,282760
92,,0,1548524,220782
93,,0,1535939,194334
94,,0,1536061,230061
95,,0,1560788,229961
96,,0,1501175,238004
97,,0,1072144,170389
98,,0,933250,0
99,,0,368681,0
100,,0,,0
101,,0,,0
102,,0,,177777
103,,0,,1569859
104,,0,,1530417
105,,0,,1548570
106,,0,,1567591
107,,0,,1567199
108,,0,,1560910
109,,0,,1534371
110,,0,,1429483
111,,0,,993813
112,,0,,288406
113,,0,,231604
114,,0,,
115,,0,,
116,,0,,
117,,0,,
118,,0,,
119,,0,,
120,,0,,
121,,0,,
122,,364977,,
123,,1561781,,
124,,1566229,,
125,,1561169,,
126,,1563140,,
127,,1573029,,
128,,1564165,,
129,,1560860,,
130,,1563612,,
131,,1564023,,
132,,1554882,,
133,,1565356,,
134,,1558392,,
135,,1563539,,
136,,1564055,,
137,,1562421,,
138,,1553759,,
139,,1564815,,
140,,938360,,
141,,871553,,
142,,947911,,
143,,942108,,
144,,952203,,
145,,417661,,
146,,0,,
147,,0,,
148,,0,,
149,,0,,
150,,0,,
151,,0,,
152,,0,,
153,,0,,
154,,0,,
155,,0,,
156,,0,,
157,,0,,
158,,0,,
159,,0,,
160,,0,,
161,,0,,
162,,0,,
163,,0,,
164,,0,,
165,,0,,
166,,0,,
167,,0,,
168,,0,,
169,,0,,
170,,0,,
171,,0,,
172,,0,,
173,,0,,
174,,0,,
175,,0,,
176,,0,,
177,,0,,
178,,0,,
179,,0,,
180,,0,,
181,,0,,
182,,0,,
183,,476541,,
184,,1573819,,
185,,1570037,,
186,,1567607,,
187,,1570727,,
188,,1569267,,
189,,1556996,,
190,,1554612,,
191,,1173258,,
192,,946306,,
193,,440830,,